ID,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
216481,48+2,48+2,48+2,45+2,47+2,47+2,47+2,45+2,48+2,48+2,48+2,49+2,55+2,55+2,55+2,49+2,59+2,65+2,65+2,65+2,59+2,62+2,70+2,70+2,70+2,62+2
193185,65+2,65+2,65+2,66+2,65+2,65+2,65+2,66+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,70+2,68+2,68+2,68+2,70+2,69+2,67+2,67+2,67+2,69+2
212130,47+2,47+2,47+2,44+2,42+2,42+2,42+2,44+2,41+2,41+2,41+2,45+2,45+2,45+2,45+2,45+2,61+2,60+2,60+2,60+2,61+2,64+2,70+2,70+2,70+2,64+2
182178,55+2,55+2,55+2,58+2,57+2,57+2,57+2,58+2,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,69+2,68+2,68+2,68+2,69+2,69+2,70+2,70+2,70+2,69+2
201379,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,65+2,65+2,65+2,70+2,54+2,52+2,52+2,52+2,54+2,50+2,45+2,45+2,45+2,50+2
177571,52+2,52+2,52+2,49+2,51+2,51+2,51+2,49+2,53+2,53+2,53+2,51+2,59+2,59+2,59+2,51+2,61+2,68+2,68+2,68+2,61+2,63+2,70+2,70+2,70+2,63+2
202148,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,66+2,64+2,64+2,64+2,66+2
140196,66+3,66+3,66+3,67+3,67+3,67+3,67+3,67+3,69+3,69+3,69+3,67+3,72+3,72+3,72+3,67+3,66+3,70+3,70+3,70+3,66+3,64+3,67+3,67+3,67+3,64+3
202149,64+2,64+2,64+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,70+2,70+2,70+2,68+2,70+2,71+2,71+2,71+2,70+2,70+2,66+2,66+2,66+2,70+2
220837,63+2,63+2,63+2,68+2,66+2,66+2,66+2,68+2,67+2,67+2,67+2,69+2,66+2,66+2,66+2,69+2,70+2,66+2,66+2,66+2,70+2,69+2,67+2,67+2,67+2,69+2
240037,64+2,64+2,64+2,70+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,69+2,62+2,62+2,62+2,69+2,53+2,49+2,49+2,49+2,53+2,49+2,40+2,40+2,40+2,49+2
205990,58+2,58+2,58+2,62+2,61+2,61+2,61+2,62+2,64+2,64+2,64+2,63+2,66+2,66+2,66+2,63+2,67+2,69+2,69+2,69+2,67+2,66+2,66+2,66+2,66+2,66+2
219814,64+2,64+2,64+2,63+2,62+2,62+2,62+2,63+2,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,70+2,67+2,67+2,67+2,70+2,70+2,69+2,69+2,69+2,70+2
224422,69+2,69+2,69+2,71+2,71+2,71+2,71+2,71+2,70+2,70+2,70+2,69+2,64+2,64+2,64+2,69+2,56+2,53+2,53+2,53+2,56+2,53+2,48+2,48+2,48+2,53+2
194727,58+2,58+2,58+2,62+2,61+2,61+2,61+2,62+2,62+2,62+2,62+2,64+2,65+2,65+2,65+2,64+2,70+2,69+2,69+2,69+2,70+2,70+2,69+2,69+2,69+2,70+2
102056,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,71+2,71+2,71+2,70+2,70+2,71+2,71+2,71+2,70+2,70+2,70+2,70+2,70+2,70+2
203177,63+2,63+2,63+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,67+2,64+2,64+2,64+2,67+2,70+2,67+2,67+2,67+2,70+2,70+2,69+2,69+2,69+2,70+2
199594,65+2,65+2,65+2,70+2,68+2,68+2,68+2,70+2,68+2,68+2,68+2,69+2,62+2,62+2,62+2,69+2,57+2,54+2,54+2,54+2,57+2,54+2,49+2,49+2,49+2,54+2
206506,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,68+2,68+2,68+2,70+2
211626,65+2,65+2,65+2,70+2,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,65+2,65+2,65+2,70+2,61+2,57+2,57+2,57+2,61+2,58+2,51+2,51+2,51+2,58+2
223402,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,66+2,66+2,66+2,69+2,65+2,65+2,65+2,69+2,69+2,66+2,66+2,66+2,69+2,69+2,64+2,64+2,64+2,69+2
190122,63+2,63+2,63+2,66+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,67+2,69+2,69+2,69+2,67+2,66+2,68+2,68+2,68+2,66+2,64+2,64+2,64+2,64+2,64+2
193706,54+2,54+2,54+2,47+2,49+2,49+2,49+2,47+2,50+2,50+2,50+2,50+2,55+2,55+2,55+2,50+2,59+2,64+2,64+2,64+2,59+2,62+2,69+2,69+2,69+2,62+2
194730,,,,,,,,,,,,,,,,,,,,,,,,,,
187051,69+2,69+2,69+2,63+2,66+2,66+2,66+2,63+2,63+2,63+2,63+2,61+2,58+2,58+2,58+2,61+2,47+2,47+2,47+2,47+2,47+2,45+2,45+2,45+2,45+2,45+2
231340,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,61+2,61+2,61+2,65+2,62+2,62+2,62+2,65+2,70+2,67+2,67+2,67+2,70+2,70+2,69+2,69+2,69+2,70+2
228782,63+2,63+2,63+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,67+2,69+2,69+2,69+2,67+2,67+2,70+2,70+2,70+2,67+2,67+2,68+2,68+2,68+2,67+2
229294,44+2,44+2,44+2,40+2,41+2,41+2,41+2,40+2,41+2,41+2,41+2,43+2,47+2,47+2,47+2,43+2,57+2,61+2,61+2,61+2,57+2,60+2,70+2,70+2,70+2,60+2
203439,61+2,61+2,61+2,68+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,70+2,65+2,65+2,65+2,70+2,58+2,55+2,55+2,55+2,58+2,54+2,47+2,47+2,47+2,54+2
230319,,,,,,,,,,,,,,,,,,,,,,,,,,
201136,55+2,55+2,55+2,60+2,58+2,58+2,58+2,60+2,59+2,59+2,59+2,64+2,63+2,63+2,63+2,64+2,70+2,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,70+2
200113,64+2,64+2,64+2,70+2,68+2,68+2,68+2,70+2,67+2,67+2,67+2,70+2,62+2,62+2,62+2,70+2,58+2,53+2,53+2,53+2,58+2,54+2,44+2,44+2,44+2,54+2
164529,54+2,54+2,54+2,55+2,55+2,55+2,55+2,55+2,57+2,57+2,57+2,58+2,62+2,62+2,62+2,58+2,64+2,68+2,68+2,68+2,64+2,65+2,70+2,70+2,70+2,65+2
124337,49+2,49+2,49+2,48+2,49+2,49+2,49+2,48+2,50+2,50+2,50+2,50+2,56+2,56+2,56+2,50+2,59+2,65+2,65+2,65+2,59+2,60+2,70+2,70+2,70+2,60+2
193201,68+2,68+2,68+2,72+2,71+2,71+2,71+2,72+2,70+2,70+2,70+2,71+2,67+2,67+2,67+2,71+2,70+2,66+2,66+2,66+2,70+2,69+2,65+2,65+2,65+2,69+2
142258,,,,,,,,,,,,,,,,,,,,,,,,,,
211378,71+2,71+2,71+2,69+2,70+2,70+2,70+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,69+2,70+2,70+2,70+2,69+2,70+2,71+2,71+2,71+2,70+2
213938,50+2,50+2,50+2,50+2,51+2,51+2,51+2,50+2,52+2,52+2,52+2,52+2,55+2,55+2,55+2,52+2,61+2,65+2,65+2,65+2,61+2,63+2,69+2,69+2,69+2,63+2
223922,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,68+2,68+2,68+2,67+2,70+2,70+2,70+2,67+2,66+2,69+2,69+2,69+2,66+2,66+2,66+2,66+2,66+2,66+2
211891,70+2,70+2,70+2,65+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,63+2,59+2,59+2,59+2,63+2,51+2,51+2,51+2,51+2,51+2,49+2,51+2,51+2,51+2,49+2
221875,62+2,62+2,62+2,62+2,64+2,64+2,64+2,62+2,66+2,66+2,66+2,64+2,70+2,70+2,70+2,64+2,64+2,68+2,68+2,68+2,64+2,63+2,63+2,63+2,63+2,63+2
197300,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,66+2,66+2,66+2,69+2,56+2,55+2,55+2,55+2,56+2,53+2,47+2,47+2,47+2,53+2
208052,60+2,60+2,60+2,65+2,63+2,63+2,63+2,65+2,62+2,62+2,62+2,66+2,62+2,62+2,62+2,66+2,70+2,65+2,65+2,65+2,70+2,70+2,66+2,66+2,66+2,70+2
199861,66+2,66+2,66+2,70+2,69+2,69+2,69+2,70+2,68+2,68+2,68+2,70+2,62+2,62+2,62+2,70+2,60+2,53+2,53+2,53+2,60+2,58+2,46+2,46+2,46+2,58+2
204213,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,70+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,70+2
159157,61+2,61+2,61+2,64+2,64+2,64+2,64+2,64+2,67+2,67+2,67+2,65+2,69+2,69+2,69+2,65+2,66+2,69+2,69+2,69+2,66+2,65+2,64+2,64+2,64+2,65+2
188597,,,,,,,,,,,,,,,,,,,,,,,,,,
210358,,,,,,,,,,,,,,,,,,,,,,,,,,
225206,67+2,67+2,67+2,69+2,67+2,67+2,67+2,69+2,65+2,65+2,65+2,69+2,64+2,64+2,64+2,69+2,71+2,65+2,65+2,65+2,71+2,70+2,65+2,65+2,65+2,70+2
166838,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,66+2,66+2,66+2,70+2,58+2,57+2,57+2,57+2,58+2,55+2,53+2,53+2,53+2,55+2
237238,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,69+2,69+2,69+2,67+2,68+2,71+2,71+2,71+2,68+2,68+2,70+2,70+2,70+2,68+2
220087,57+2,57+2,57+2,58+2,58+2,58+2,58+2,58+2,59+2,59+2,59+2,60+2,62+2,62+2,62+2,60+2,67+2,69+2,69+2,69+2,67+2,67+2,69+2,69+2,69+2,67+2
186551,61+2,61+2,61+2,66+2,64+2,64+2,64+2,66+2,65+2,65+2,65+2,67+2,65+2,65+2,65+2,67+2,70+2,66+2,66+2,66+2,70+2,70+2,65+2,65+2,65+2,70+2
230072,70+2,70+2,70+2,64+2,66+2,66+2,66+2,64+2,63+2,63+2,63+2,62+2,56+2,56+2,56+2,62+2,44+2,42+2,42+2,42+2,44+2,42+2,38+2,38+2,38+2,42+2
201145,70+2,70+2,70+2,66+2,68+2,68+2,68+2,66+2,65+2,65+2,65+2,64+2,61+2,61+2,61+2,64+2,55+2,55+2,55+2,55+2,55+2,54+2,56+2,56+2,56+2,54+2
212409,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,68+2,60+2,60+2,60+2,68+2,51+2,46+2,46+2,46+2,51+2,47+2,41+2,41+2,41+2,47+2
223929,70+2,70+2,70+2,69+2,68+2,68+2,68+2,69+2,66+2,66+2,66+2,67+2,58+2,58+2,58+2,67+2,51+2,45+2,45+2,45+2,51+2,48+2,43+2,43+2,43+2,48+2
224953,,,,,,,,,,,,,,,,,,,,,,,,,,
180409,63+2,63+2,63+2,56+2,60+2,60+2,60+2,56+2,60+2,60+2,60+2,57+2,64+2,64+2,64+2,57+2,64+2,70+2,70+2,70+2,64+2,66+2,73+2,73+2,73+2,66+2
186553,68+2,68+2,68+2,68+2,67+2,67+2,67+2,68+2,66+2,66+2,66+2,69+2,66+2,66+2,66+2,69+2,70+2,67+2,67+2,67+2,70+2,70+2,68+2,68+2,68+2,70+2
189369,69+2,69+2,69+2,62+2,65+2,65+2,65+2,62+2,62+2,62+2,62+2,61+2,55+2,55+2,55+2,61+2,44+2,44+2,44+2,44+2,44+2,42+2,42+2,42+2,42+2,42+2
220090,50+2,50+2,50+2,47+2,47+2,47+2,47+2,47+2,48+2,48+2,48+2,48+2,51+2,51+2,51+2,48+2,58+2,62+2,62+2,62+2,58+2,61+2,70+2,70+2,70+2,61+2
224442,,,,,,,,,,,,,,,,,,,,,,,,,,
233147,65+2,65+2,65+2,71+2,71+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,70+2,69+2,69+2,69+2,70+2,68+2,62+2,62+2,62+2,68+2
172475,67+2,67+2,67+2,69+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,69+2,70+2,70+2,70+2,69+2,64+2,65+2,65+2,65+2,64+2,62+2,61+2,61+2,61+2,62+2
202940,67+2,67+2,67+2,71+2,69+2,69+2,69+2,71+2,69+2,69+2,69+2,70+2,64+2,64+2,64+2,70+2,56+2,53+2,53+2,53+2,56+2,53+2,46+2,46+2,46+2,53+2
230332,,,,,,,,,,,,,,,,,,,,,,,,,,
207805,58+2,58+2,58+2,56+2,59+2,59+2,59+2,56+2,61+2,61+2,61+2,57+2,66+2,66+2,66+2,57+2,63+2,69+2,69+2,69+2,63+2,63+2,67+2,67+2,67+2,63+2
224189,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,63+2,63+2,63+2,64+2,66+2,66+2,66+2,64+2,69+2,70+2,70+2,70+2,69+2,69+2,70+2,70+2,70+2,69+2
170941,57+2,57+2,57+2,60+2,59+2,59+2,59+2,60+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,61+2,69+2,66+2,66+2,66+2,69+2,69+2,68+2,68+2,68+2,69+2
188094,,,,,,,,,,,,,,,,,,,,,,,,,,
198079,63+2,63+2,63+2,68+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,68+2,68+2,68+2,68+2,68+2,66+2,64+2,64+2,64+2,66+2
198335,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,71+2,69+2,69+2,69+2,71+2,70+2,66+2,66+2,66+2,70+2
213439,66+2,66+2,66+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,69+2,69+2,69+2,69+2,64+2,64+2,64+2,64+2,64+2,61+2,58+2,58+2,58+2,61+2
230335,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,69+2,67+2,67+2,67+2,69+2,69+2,66+2,66+2,66+2,69+2
231360,57+2,57+2,57+2,62+2,62+2,62+2,62+2,62+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,67+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,67+2
166080,66+2,66+2,66+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,68+2,68+2,68+2,69+2,62+2,63+2,63+2,63+2,62+2,60+2,59+2,59+2,59+2,60+2
241856,63+2,63+2,63+2,68+2,68+2,68+2,68+2,68+2,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,65+2,66+2,66+2,66+2,65+2,63+2,59+2,59+2,59+2,63+2
188352,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,70+2,66+2,66+2,66+2,70+2
158657,,,,,,,,,,,,,,,,,,,,,,,,,,
182209,49+2,49+2,49+2,43+2,45+2,45+2,45+2,43+2,45+2,45+2,45+2,46+2,51+2,51+2,51+2,46+2,59+2,63+2,63+2,63+2,59+2,62+2,69+2,69+2,69+2,62+2
137410,49+2,49+2,49+2,46+2,48+2,48+2,48+2,46+2,49+2,49+2,49+2,48+2,55+2,55+2,55+2,48+2,57+2,64+2,64+2,64+2,57+2,59+2,70+2,70+2,70+2,59+2
211394,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,68+2,69+2,69+2,69+2,68+2,67+2,65+2,65+2,65+2,67+2
221378,56+2,56+2,56+2,55+2,55+2,55+2,55+2,55+2,56+2,56+2,56+2,58+2,60+2,60+2,60+2,58+2,65+2,66+2,66+2,66+2,65+2,67+2,69+2,69+2,69+2,67+2
226754,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,70+2,67+2,64+2,64+2,64+2,67+2,66+2,60+2,60+2,60+2,66+2
190658,60+2,60+2,60+2,63+2,61+2,61+2,61+2,63+2,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,69+2,67+2,67+2,67+2,69+2,70+2,69+2,69+2,69+2,70+2
220355,69+2,69+2,69+2,64+2,67+2,67+2,67+2,64+2,64+2,64+2,64+2,62+2,57+2,57+2,57+2,62+2,47+2,47+2,47+2,47+2,47+2,45+2,45+2,45+2,45+2,45+2
233411,63+2,63+2,63+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,69+2,70+2,69+2,69+2,69+2,70+2,70+2,69+2,69+2,69+2,70+2
110019,49+2,49+2,49+2,46+2,48+2,48+2,48+2,46+2,51+2,51+2,51+2,48+2,56+2,56+2,56+2,48+2,57+2,65+2,65+2,65+2,57+2,59+2,70+2,70+2,70+2,59+2
138436,70+2,70+2,70+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,60+2,62+2,62+2,62+2,60+2,59+2,60+2,60+2,60+2,59+2
228804,65+2,65+2,65+2,67+2,67+2,67+2,67+2,67+2,68+2,68+2,68+2,68+2,70+2,70+2,70+2,68+2,68+2,68+2,68+2,68+2,68+2,67+2,65+2,65+2,65+2,67+2
230340,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,67+2,67+2,67+2,70+2,67+2,67+2,67+2,70+2,70+2,68+2,68+2,68+2,70+2,69+2,67+2,67+2,67+2,69+2
235717,61+2,61+2,61+2,68+2,66+2,66+2,66+2,68+2,69+2,69+2,69+2,69+2,65+2,65+2,65+2,69+2,56+2,54+2,54+2,54+2,56+2,53+2,46+2,46+2,46+2,53+2
206534,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,54+2,53+2,53+2,53+2,54+2,51+2,46+2,46+2,46+2,51+2
213446,66+2,66+2,66+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,70+2,66+2,66+2,66+2,70+2,69+2,64+2,64+2,64+2,69+2
220358,51+2,51+2,51+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,52+2,54+2,54+2,54+2,52+2,62+2,64+2,64+2,64+2,62+2,63+2,70+2,70+2,70+2,63+2
229574,45+2,45+2,45+2,45+2,44+2,44+2,44+2,45+2,44+2,44+2,44+2,48+2,49+2,49+2,49+2,48+2,62+2,61+2,61+2,61+2,62+2,65+2,69+2,69+2,69+2,65+2
236998,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,68+2,69+2,69+2,69+2,68+2,68+2,67+2,67+2,67+2,68+2
217287,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,65+2,65+2,65+2,64+2,68+2,68+2,68+2,64+2,68+2,70+2,70+2,70+2,68+2,68+2,67+2,67+2,67+2,68+2
224967,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,68+2,68+2,68+2,67+2,61+2,61+2,61+2,67+2,54+2,51+2,51+2,51+2,54+2,53+2,51+2,51+2,51+2,53+2
205256,47+2,47+2,47+2,47+2,45+2,45+2,45+2,47+2,46+2,46+2,46+2,49+2,51+2,51+2,51+2,49+2,64+2,63+2,63+2,63+2,64+2,66+2,70+2,70+2,70+2,66+2
221896,66+2,66+2,66+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,69+2,63+2,63+2,63+2,69+2,50+2,48+2,48+2,48+2,50+2,46+2,38+2,38+2,38+2,46+2
164041,,,,,,,,,,,,,,,,,,,,,,,,,,
187337,70+2,70+2,70+2,70+2,71+2,71+2,71+2,70+2,70+2,70+2,70+2,69+2,65+2,65+2,65+2,69+2,57+2,56+2,56+2,56+2,57+2,55+2,52+2,52+2,52+2,55+2
200138,57+2,57+2,57+2,54+2,56+2,56+2,56+2,54+2,55+2,55+2,55+2,55+2,58+2,58+2,58+2,55+2,61+2,65+2,65+2,65+2,61+2,63+2,70+2,70+2,70+2,63+2
207562,69+2,69+2,69+2,61+2,65+2,65+2,65+2,61+2,61+2,61+2,61+2,59+2,54+2,54+2,54+2,59+2,44+2,43+2,43+2,43+2,44+2,43+2,43+2,43+2,43+2,43+2
142794,54+2,54+2,54+2,50+2,51+2,51+2,51+2,50+2,52+2,52+2,52+2,51+2,57+2,57+2,57+2,51+2,61+2,65+2,65+2,65+2,61+2,62+2,69+2,69+2,69+2,62+2
214986,51+2,51+2,51+2,52+2,50+2,50+2,50+2,52+2,50+2,50+2,50+2,55+2,55+2,55+2,55+2,55+2,66+2,65+2,65+2,65+2,66+2,67+2,70+2,70+2,70+2,67+2
227530,55+2,55+2,55+2,57+2,56+2,56+2,56+2,57+2,58+2,58+2,58+2,61+2,63+2,63+2,63+2,61+2,69+2,70+2,70+2,70+2,69+2,70+2,72+2,72+2,72+2,70+2
168650,63+2,63+2,63+2,61+2,64+2,64+2,64+2,61+2,65+2,65+2,65+2,62+2,69+2,69+2,69+2,62+2,64+2,70+2,70+2,70+2,64+2,64+2,69+2,69+2,69+2,64+2
243402,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,69+2,69+2,69+2,70+2,62+2,62+2,62+2,70+2,53+2,49+2,49+2,49+2,53+2,50+2,42+2,42+2,42+2,50+2
222411,,,,,,,,,,,,,,,,,,,,,,,,,,
224459,59+2,59+2,59+2,64+2,61+2,61+2,61+2,64+2,61+2,61+2,61+2,65+2,61+2,61+2,61+2,65+2,69+2,65+2,65+2,65+2,69+2,69+2,65+2,65+2,65+2,69+2
188107,69+2,69+2,69+2,64+2,66+2,66+2,66+2,64+2,63+2,63+2,63+2,63+2,56+2,56+2,56+2,63+2,48+2,47+2,47+2,47+2,48+2,46+2,46+2,46+2,46+2,46+2
212428,69+2,69+2,69+2,66+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,64+2,56+2,56+2,56+2,64+2,45+2,41+2,41+2,41+2,45+2,42+2,38+2,38+2,38+2,42+2
242380,61+2,61+2,61+2,66+2,65+2,65+2,65+2,66+2,67+2,67+2,67+2,68+2,70+2,70+2,70+2,68+2,69+2,70+2,70+2,70+2,69+2,68+2,66+2,66+2,66+2,68+2
224461,63+2,63+2,63+2,69+2,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,64+2,64+2,64+2,69+2,56+2,52+2,52+2,52+2,56+2,53+2,46+2,46+2,46+2,53+2
183245,44+2,44+2,44+2,39+2,40+2,40+2,40+2,39+2,40+2,40+2,40+2,41+2,45+2,45+2,45+2,41+2,58+2,61+2,61+2,61+2,58+2,61+2,70+2,70+2,70+2,61+2
198350,,,,,,,,,,,,,,,,,,,,,,,,,,
215502,,,,,,,,,,,,,,,,,,,,,,,,,,
229582,48+2,48+2,48+2,43+2,45+2,45+2,45+2,43+2,44+2,44+2,44+2,45+2,48+2,48+2,48+2,45+2,58+2,61+2,61+2,61+2,58+2,61+2,70+2,70+2,70+2,61+2
173518,43+2,43+2,43+2,38+2,39+2,39+2,39+2,38+2,38+2,38+2,38+2,40+2,44+2,44+2,44+2,40+2,57+2,59+2,59+2,59+2,57+2,60+2,69+2,69+2,69+2,60+2
139727,,,,,,,,,,,,,,,,,,,,,,,,,,
205008,64+2,64+2,64+2,70+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,66+2,66+2,66+2,70+2,56+2,54+2,54+2,54+2,56+2,52+2,46+2,46+2,46+2,52+2
211920,70+2,70+2,70+2,63+2,66+2,66+2,66+2,63+2,63+2,63+2,63+2,62+2,57+2,57+2,57+2,62+2,51+2,50+2,50+2,50+2,51+2,50+2,51+2,51+2,51+2,50+2
212944,65+2,65+2,65+2,68+2,68+2,68+2,68+2,68+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,69+2,56+2,56+2,56+2,56+2,56+2,52+2,48+2,48+2,48+2,52+2
220624,,,,,,,,,,,,,,,,,,,,,,,,,,
236496,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,66+2,69+2,69+2,69+2,66+2,67+2,69+2,69+2,69+2,67+2,66+2,66+2,66+2,66+2,66+2
238033,,,,,,,,,,,,,,,,,,,,,,,,,,
177105,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,66+2,66+2,66+2,66+2,66+2,64+2,62+2,62+2,62+2,64+2
140498,,,,,,,,,,,,,,,,,,,,,,,,,,
210386,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,69+2,63+2,63+2,63+2,69+2,54+2,50+2,50+2,50+2,54+2,51+2,45+2,45+2,45+2,51+2
236498,69+2,69+2,69+2,67+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,65+2,60+2,60+2,60+2,65+2,50+2,49+2,49+2,49+2,50+2,48+2,46+2,46+2,46+2,48+2
186578,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,69+2,69+2,69+2,68+2,67+2,69+2,69+2,69+2,67+2,67+2,69+2,69+2,69+2,67+2
216275,55+2,55+2,55+2,64+2,60+2,60+2,60+2,64+2,61+2,61+2,61+2,66+2,61+2,61+2,61+2,66+2,71+2,64+2,64+2,64+2,71+2,69+2,61+2,61+2,61+2,69+2
226515,64+2,64+2,64+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,66+2,66+2,66+2,63+2,68+2,69+2,69+2,69+2,68+2,68+2,70+2,70+2,70+2,68+2
167379,57+2,57+2,57+2,60+2,58+2,58+2,58+2,60+2,59+2,59+2,59+2,63+2,62+2,62+2,62+2,63+2,71+2,68+2,68+2,68+2,71+2,71+2,69+2,69+2,69+2,71+2
225236,55+2,55+2,55+2,53+2,54+2,54+2,54+2,53+2,54+2,54+2,54+2,56+2,57+2,57+2,57+2,56+2,63+2,65+2,65+2,65+2,63+2,64+2,69+2,69+2,69+2,64+2
232148,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,70+2,65+2,65+2,65+2,70+2,56+2,55+2,55+2,55+2,56+2,54+2,50+2,50+2,50+2,54+2
169941,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,69+2,69+2,69+2,70+2,63+2,63+2,63+2,70+2,53+2,50+2,50+2,50+2,53+2,49+2,43+2,43+2,43+2,49+2
213718,52+2,52+2,52+2,46+2,48+2,48+2,48+2,46+2,48+2,48+2,48+2,48+2,53+2,53+2,53+2,48+2,58+2,64+2,64+2,64+2,58+2,60+2,70+2,70+2,70+2,60+2
230358,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,65+2,69+2,67+2,67+2,67+2,69+2,69+2,67+2,67+2,67+2,69+2
234966,64+2,64+2,64+2,67+2,67+2,67+2,67+2,67+2,70+2,70+2,70+2,67+2,69+2,69+2,69+2,67+2,62+2,62+2,62+2,62+2,62+2,60+2,55+2,55+2,55+2,60+2
