id,name,original_name,overview,first_air_date,origin_country,original_language,vote_average,vote_count,popularity,genre_ids
655,Star Trek: The Next Generation,Star Trek: The Next Generation,"Follow the intergalactic adventures of Capt. Jean-Luc Picard and his loyal crew aboard the all-new USS Enterprise NCC-1701D, as they explore new worlds.",1987-09-28,['US'],en,8.2,649,40.078,"[18, 9648, 10759, 10765]"
54650,Power,Power,"A successful New York entrepreneur lives a double life as the head of a drug empire that serves only the rich and influential, all while wanting to escape the underworld and keep his family safe.",2014-06-07,['US'],en,7.6,741,49.446,"[80, 18]"
1413,American Horror Story,American Horror Story,"An anthology horror drama series centering on different characters and locations, including a house with a murderous past, an asylum, a witch coven, a freak show, a hotel, a farmhouse in Roanoke and a cult.",2011-10-05,['US'],en,7.0,1263,53.535,"[18, 9648, 10765]"
46896,The Originals,The Originals,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.",2013-10-03,['US'],en,7.8,520,36.144,"[18, 9648, 10765]"
56570,Outlander,Outlander,"The story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.",2014-08-09,['US'],en,7.4,539,36.731,"[12, 18, 14, 10749]"
18165,The Vampire Diaries,The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",2009-09-10,['US'],en,7.4,899,59.996,"[18, 14, 27, 10749]"
14610,Secret Lives,Salatut elämät,"Salatut elämät is a Finnish television series that premiered on MTV3 on 25 January 1999. It was the first, and so far only, Finnish daily soap opera.

During the series' 14-year run, over 2,500 episodes have been aired. On 17 August 2009, it was announced that Salatut elämät will be on the air until the spring 2015 making the series the second longest-lasting drama series of all time in Finland, only behind Yle TV1's Kotikatu. The series' storylines follow the daily lives of several families who live in the same apartment block in Helsinki. The series primarily centres around the residents of Pihlajakatu and its neighbouring areas. Only three of the original twenty characters Seppo, Ismo and Kalle, still remain in the series, and most of the series' current characters have made their debuts in 2008 or later.

MTV3 also airs reruns of the series every weekend. In the summer, the channel airs reruns of the series; in the summer of 2011, episodes from the season 2006–2007 and 2007–2008 were aired.

Four web spin-off series have been made; Romeo & Rafael Desperados in 2008, Lillukanvarsia in 2010–2011, Tuuliranta in 2011–2012 and ""Young man cash man"" in 2013.",1999-01-25,['FI'],fi,5.5,4,41.056,"[10766, 18]"
15260,Adventure Time,Adventure Time,"Hook up with Finn and Jake as they travel the Land of Ooo searching for adventure. But remember, adventure isn’t always easy. Sometimes you’ve got to battle fire gnomes that torture old ladies, save a smelly hot dog princess from the Ice King, and thaw out a bunch of frozen businessmen. What the cabbage?!",2010-04-05,['US'],en,7.6,254,39.782,"[16, 35, 14]"
2224,The Daily Show with Trevor Noah,The Daily Show with Trevor Noah,"Trevor Noah and The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",1996-07-22,['US'],en,6.4,264,48.544,"[35, 10763]"
40605,The Harald Schmidt Show,Die Harald Schmidt Show,"Die Harald Schmidt Show is a German late night talk show hosted on Sky Deutschland by comedian Harald Schmidt. The show first aired from 5 December 1995 to 23 December 2003 on Sat.1. Schmidt then moved his show to Das Erste as Harald Schmidt and Schmidt & Pocher, but he returned to Sat.1 on 13 September 2011. After cancellation on Sat.1, the show continued on Sky Deutschland in September 2012.",1995-12-05,['DE'],de,1.5,1,8.397,[10764]
72597,Manhunt,Manhunt,"Inspired by actual events, this true crime anthology series takes a deep dive into the dark, twisted minds of terrorists and follows the brave souls who hunt them down.",2017-08-01,['US'],en,7.7,127,48.427,"[80, 18, 9648]"
84896,AJ and the Queen,AJ and the Queen,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",2020-01-10,['US'],en,7.9,6,53.181,[35]
14658,Survivor,Survivor,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000-05-31,['US'],en,6.5,155,40.383,[10764]
66573,The Good Place,The Good Place,"Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the afterlife where she comes to realize that she hasn't been a very good person. With the help of her wise afterlife mentor, she's determined to shed her old way of living and discover the awesome (or at least the pretty good) person within.",2016-09-19,['US'],en,8.0,361,48.073,"[35, 10765]"
1900,Live with Regis and Kathie Lee,Live with Regis and Kathie Lee,"Live! with Kelly and Michael is an American syndicated morning talk show, hosted by Kelly Ripa and Michael Strahan. Executive-produced by Michael Gelman, the show has aired since 1983 locally on WABC-TV in New York City and 1988 nationwide. With roots in A.M. Los Angeles and A.M. New York, Live! began as The Morning Show, hosted by Regis Philbin and Cyndy Garvey; the show rose to national prominence as Live with Regis and Kathie Lee, which ran for 12 years and continuing as Live! with Regis and Kelly for another decade before Ripa, after hosting with guest co-hosts for nearly a year, was paired with former NFL defensive end Michael Strahan.

The franchise has had longstanding success and has won the Daytime Emmy Award for Outstanding Talk Show and Outstanding Talk Show Hosts.",1983-04-04,['US'],en,5.2,7,9.479,[]
2710,It's Always Sunny in Philadelphia,It's Always Sunny in Philadelphia,"Four egocentric friends who run a neighborhood Irish pub in Philadelphia try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",2005-08-04,['US'],en,8.2,452,37.475,[35]
89247,Batwoman,Batwoman,"Kate Kane, armed with a passion for social justice and a flair for speaking her mind, soars onto the streets of Gotham as Batwoman, an out lesbian and highly trained street fighter primed to snuff out the failing city's criminal resurgence. But don't call her a hero yet. In a city desperate for a savior, Kate must overcome her own demons before embracing the call to be Gotham's symbol of hope",2019-10-06,['US'],en,6.6,231,47.506,"[80, 9648, 10759, 10765]"
1400,Seinfeld,Seinfeld,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989-07-05,['US'],en,8.3,754,44.457,[35]
2661,Kamen Rider,仮面ライダ,A Japanese anthology series centered around a man who transforms into a bug-themed superhero.,1971-04-03,['JP'],ja,5.8,31,46.529,"[18, 10759, 10765]"
42009,Black Mirror,Black Mirror,"A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. 

Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.",2011-12-04,['GB'],en,8.2,1566,36.222,"[18, 10765]"
46260,Naruto,ナルト,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",2002-10-03,['JP'],ja,7.7,290,36.579,"[16, 35, 18, 10759]"
764,Midsomer Murders,Midsomer Murders,"The peacefulness of the Midsomer community is shattered by violent crimes, suspects are placed under suspicion, and it is up to a veteran DCI and his young sergeant to calmly and diligently eliminate the innocent and ruthlessly pursue the guilty. ",1997-03-23,['GB'],en,7.6,113,36.256,"[80, 18, 9648]"
1405,Dexter,Dexter,"Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice.",2006-10-01,['US'],en,8.0,1542,33.629,"[80, 18, 9648]"
39340,2 Broke Girls,2 Broke Girls,"Comedy about the unlikely friendship that develops between two very different young women who meet waitressing at a diner in trendy Williamsburg, Brooklyn, and form a bond over one day owning their own successful cupcake business. Only one thing stands in their way – they’re broke.",2011-09-19,['US'],en,6.1,510,34.501,[35]
4629,Stargate SG-1,Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",1997-07-27,"['CA', 'US']",en,8.1,600,45.002,"[10759, 10765]"
32692,Blue Bloods,Blue Bloods,"A drama about a multi-generational family of cops dedicated to New York City law enforcement. Frank Reagan is the New York Police Commissioner and heads both the police force and the Reagan brood. He runs his department as diplomatically as he runs his family, even when dealing with the politics that plagued his unapologetically bold father, Henry, during his stint as Chief.",2010-09-24,['US'],en,7.2,281,45.45,"[80, 18]"
1695,Monk,Monk,"Adrian Monk was once a rising star with the San Francisco Police Department, legendary for using unconventional means to solve the department's most baffling cases. But after the tragic (and still unsolved) murder of his wife Trudy, he developed an extreme case of obsessive-compulsive disorder. Now working as a private consultant, Monk continues to investigate cases in the most unconventional ways.",2002-07-12,['US'],en,7.7,336,36.949,"[18, 9648, 80, 35]"
1620,CSI: Miami,CSI: Miami,"CSI: Miami follows Crime Scene Investigators working for the Miami-Dade Police Department as they use physical evidence, similar to their Las Vegas counterparts, to solve grisly murders. The series mixes deduction, gritty subject matter, and character-driven drama in the same vein as the original series in the CSI franchise, except that the Miami CSIs are cops first, scientists second.",2002-09-23,['US'],en,6.5,271,42.496,"[18, 9648]"
37971,Der Alte,Der Alte,"A police department, lead by an older, experienced detective solve crimes together.",1977-04-11,['DE'],de,5.8,2,18.44,[80]
32651,Interns,Интерны,"Medical sitcom Ivan Okhlobystin about doctors who still do not know how to treat, but know how to make people laugh. The main characters of the sitcom - four interns. They always get into stupid situations, and their leader Dr. Bykov pleasure of watching this",2010-03-29,['RU'],ru,5.8,46,38.809,"[35, 10751]"
97642,Haikyuu!!: Riku vs Kuu,Haikyuu!!: Riku vs Kuu,,2020-01-10,[],es,10.0,1,65.311,[]
1972,Battlestar Galactica,Battlestar Galactica,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",2004-10-18,"['US', 'CA', 'GB']",en,8.2,698,26.652,[18]
3452,Frasier,Frasier,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",1993-09-16,['US'],en,7.6,302,36.13,[35]
60574,Peaky Blinders,Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013-09-12,['GB'],en,8.3,666,39.784,"[80, 18]"
1667,Saturday Night Live,Saturday Night Live,"A late-night live television sketch comedy and variety show created by Lorne Michaels. The show's comedy sketches, which parody contemporary culture and politics, are performed by a large and varying cast of repertory and newer cast members. Each episode is hosted by a celebrity guest, who usually delivers an opening monologue and performs in sketches with the cast, and features performances by a musical guest.",1975-10-11,['US'],en,6.8,204,31.512,"[35, 10763]"
93975,TharnType: The Series,เกลียดนักมาเป็นที่รักกันซะดีๆ,"Type is a dark, tall and handsome freshmen. Although he’s a warm boy, he is homophobic because he was molested by a man as a child. His life turns up side down when the new year of college brings along a very interesting person in his life, a gay roommate, Than. Than, is a very handsome music major with fair skin and mixed features. He is also openly gay. With a gay guy and a guy who hates gay men, that have to share a small space together for the rest of the year — what can possibly be the outcome of their story? Hatred? Or maybe love?",2019-10-07,[],th,9.3,6,38.264,[]
1338,Alarm for Cobra 11: The Motorway Police,Alarm für Cobra 11 – Die Autobahnpolizei,"Alarm für Cobra 11 – Die Autobahnpolizei is a long-running, popular German television series about a two-man team of highway police, originally set in Berlin and later in North Rhine-Westphalia. The series has been broadcast in countries worldwide.

Ihr Revier ist die Autobahn (Their precinct is the autobahn)

Ihr Tempo ist mörderisch (They work at break-neck speed)

Ihre Gegner: Autoschieber, Mörder und Erpresser (They're up against car thieves, burglars, and extortionists)

Einsatz rund um die Uhr für die Männer von Cobra 11 (They're on call around the clock: the men of Cobra 11)

Unsere Sicherheit ist ihr Job (Our safety is their job).",1996-03-12,['DE'],de,6.0,38,32.557,"[35, 18, 10759]"
34307,Shameless,Shameless,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",2011-01-09,['US'],en,7.9,981,56.476,"[35, 18]"
62286,Fear the Walking Dead,Fear the Walking Dead,"What did the world look like as it was transforming into the horrifying apocalypse depicted in ""The Walking Dead""? This spin-off set in Los Angeles, following new characters as they face the beginning of the end of the world, will answer that question.",2015-08-23,['US'],en,6.3,1134,42.949,"[18, 10759]"
693,Desperate Housewives,Desperate Housewives,"Looking down on her friends and family isn't a way of life for Mary Alice Young... it's a way of death. One day, in her perfect house, in the loveliest of suburbs, Mary Alice ended it all. Now she's taking us into the lives of her family, friends and neighbors, commenting from her elevated P.O.V.",2004-10-03,['US'],en,7.0,301,32.553,"[35, 18, 9648]"
63639,The Expanse,The Expanse,A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.,2015-12-14,['US'],en,7.7,830,42.656,"[18, 9648, 10765]"
37680,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",2011-06-23,['US'],en,7.5,1020,45.992,[18]
1409,Sons of Anarchy,Sons of Anarchy,"An adrenalized drama with darkly comedic undertones that explores a notorious outlaw motorcycle club’s (MC) desire to protect its livelihood while ensuring that their simple, sheltered town of Charming, California remains exactly that, charming. The MC must confront threats from drug dealers, corporate developers, and overzealous law officers. Behind the MC’s familial lifestyle and legally thriving automotive shop is a ruthless and illegal arms business driven by the seduction of money, power, and blood.",2008-09-03,['US'],en,7.9,686,29.44,"[80, 18]"
1920,Twin Peaks,Twin Peaks,The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,1990-04-08,['US'],en,8.2,863,32.332,"[18, 9648]"
1418,The Big Bang Theory,The Big Bang Theory,"The Big Bang Theory is centered on five characters living in Pasadena, California: roommates Leonard Hofstadter and Sheldon Cooper; Penny, a waitress and aspiring actress who lives across the hall; and Leonard and Sheldon's equally geeky and socially awkward friends and co-workers, mechanical engineer Howard Wolowitz and astrophysicist Raj Koothrappali. The geekiness and intellect of the four guys is contrasted for comic effect with Penny's social skills and common sense.",2007-09-24,['US'],en,6.9,3969,44.569,[35]
63926,One-Punch Man,ワンパンマン,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong—even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",2015-10-04,['JP'],ja,8.0,541,41.903,"[10759, 16, 35]"
14814,Keeping Up with the Kardashians,Keeping Up with the Kardashians,"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney and Khloé.",2007-10-14,['US'],en,4.6,165,39.155,[10764]
1398,The Sopranos,The Sopranos,"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",1999-01-10,['US'],en,8.3,892,31.353,[18]
67198,Star Trek: Discovery,Star Trek: Discovery,"Follow the voyages of Starfleet on their missions to discover new worlds and new life forms, and one Starfleet officer who must learn that to truly understand all things alien, you must first understand yourself.",2017-09-24,['US'],en,6.9,665,42.253,"[10759, 10765]"
14210,Polizeiruf 110,Polizeiruf 110,"Polizeiruf 110 is a long-running German language detective television series. The first episode was broadcast 27 June 1971 in the German Democratic Republic, and after the dissolution of Fernsehen der DDR the series was picked up by ARD. It was originally created as a counterpart to the West German series Tatort, and quickly became a public favorite.

In contrast with other television crime series, in which killings are practically the primary focus, while Tatort handled homicide cases, the cases handled in the GDR TV's Polizeiruf were more often the more frequent, and less serious, crimes such as domestic violence, extortion, fraud, theft and juvenile delinquency, as well as alcoholism, child abuse and rape. Contrary to Tatort, which concentrated on the primary characters and their private lives, police procedure was the center of attention of Polizeiruf, especially in the earlier episodes. The scriptwriters attached particular importance to representation of the criminal and his state of mind, as well as the context of the crime. Many episodes aimed to teach and enlighten the audience about what does and what doesn't constitute appropriate behaviour and appropriate thought, rather than just to entertain. Polizeiruf was one of the few broadcasts by GDR media in which the real problems and difficulties of the supposedly more advanced socialist society could be displayed and discussed to some extent, albeit in a fictionalized and pedagogicalized environment.",1971-06-27,['DE'],de,6.4,11,22.623,[80]
93149,Plunderer,プランダラ,"In a post-apocalyptic world dominated by the so-called ""Numbers,"" each human will have their identity branded with their own ""Count,"" which could define any number related to their life. May it be one's walked distance or amount of compliments given to them by others, this Count could lead them to the abyss when it has dropped to zero.

In the year 305 of the Alcian calendar, Hina has inherited a mission from her Mother, whose Count has depreciated to zero, to search for the Legendary Red Baron. In her adventure, she meets a half-masked swordsman named Licht who tries to hide his identity, as he is known as a degenerate for having an incredibly low Count.",2020-01-09,['JP'],ja,7.2,6,41.362,"[16, 10759, 10765]"
502,Sesame Street,Sesame Street,"On a special inner city street, the inhabitants—human and muppet—teach preschoolers basic educational and social concepts using comedy, cartoons, games, and songs.",1969-11-10,['US'],en,7.4,102,49.036,"[16, 35, 10751]"
1420,New Girl,New Girl,"Jessica Day is an offbeat and adorable girl in her late 20s who, after a bad breakup, moves in with three single guys. Goofy, positive, vulnerable and honest to a fault, Jess has faith in people, even when she shouldn't. Although she's dorky and awkward, she's comfortable in her own skin. More prone to friendships with women, she's not used to hanging with the boys—especially at home.",2011-09-20,['US'],en,6.8,472,50.5,[35]
1415,Elementary,Elementary,"A modern-day drama about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson.",2012-09-27,['US'],en,7.1,722,59.919,"[80, 18, 9648]"
57532,Paw Patrol,Paw Patrol,"A group of six rescue dogs, led by a tech-savvy boy named Ryder, has adventures in ""PAW Patrol."" The heroic pups, who believe ""no job is too big, no pup is too small,"" work together to protect the community. Among the members of the group are firedog Marshall, police pup Chase, and fearless Skye. All of the animals have special skills, gadgets and vehicles that help them on their rescue missions. Whether rescuing a kitten or saving a train from a rockslide, the PAW Patrol is always up for the challenge while also making sure there's time for a game or a laugh.",2013-08-12,['US'],en,6.0,53,40.977,"[16, 10751, 10762]"
90,Mayday,Mayday,"Revealing the dark truth that aviation safety improves one crash at a time, Mayday  investigates legendary aviation disasters to find out what went wrong and why.

Based on cockpit voice recorders, accident reports and eyewitness accounts, every episode also features interviews, state-of-the-art CGI and gripping reenactments.",2003-09-03,['CA'],en,7.8,98,36.826,"[99, 18]"
32415,Conan,Conan,A late night television talk show hosted by  Conan O'Brien.,2010-11-08,['US'],en,7.2,102,12.557,"[35, 10767]"
580,Star Trek: Deep Space Nine,Star Trek: Deep Space Nine,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way.",1993-01-03,['US'],en,7.8,326,30.278,"[10759, 18, 10765]"
1215,Californication,Californication,"A self-loathing, alcoholic writer attempts to repair his damaged relationships with his daughter and her mother while combating sex addiction, a budding drug problem, and the seeming inability to avoid making bad decisions.",2007-08-13,['US'],en,7.5,492,27.52,"[35, 18]"
19885,Sherlock,Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,2010-07-25,['GB'],en,8.3,2047,29.694,"[80, 18, 9648]"
253,Star Trek,Star Trek,"Space. The Final Frontier. The U.S.S. Enterprise embarks on a five year mission to explore the galaxy. The Enterprise is under the command of Captain James T. Kirk with First Officer Mr. Spock, from the planet Vulcan. With a determined crew, the Enterprise encounters Klingons, Romulans, time paradoxes, tribbles and genetic supermen lead by Khan Noonian Singh. Their mission is to explore strange new worlds, to seek new life and new civilizations, and to boldly go where no man has gone before.",1966-09-08,['US'],en,8.0,554,41.697,"[18, 10765]"
2025,"Beverly Hills, 90210","Beverly Hills, 90210","Follow the lives of a group of teenagers living in the upscale, star-studded community of Beverly Hills, California and attending the fictitious West Beverly Hills High School and, subsequently, the fictitious California University after graduation.",1990-10-04,['US'],en,6.2,149,35.15,[18]
12786,Murdoch Mysteries,Murdoch Mysteries,"A Victorian-era Toronto detective uses then-cutting edge forensic techniques to solve crimes, with the assistance of a female coroner who is also struggling for recognition in the face of tradition, based on the books by Maureen Jennings.",2008-01-24,['CA'],en,7.3,91,36.494,"[18, 9648]"
45950,High School DxD,ハイスクールD×D,"The story follows Issei Hyōdō, a dim-witted, lecherous second-year high school student who is killed by a girl on his first date ever. Issei is reincarnated as a devil, and from that day forward, he serves as an underling of Riasu, a high-level devil who is also the prettiest girl on Issei's campus.",2012-01-06,['JP'],ja,7.3,94,41.029,"[16, 35, 10759, 10765]"
71728,Young Sheldon,Young Sheldon,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.",2017-09-25,['US'],en,7.2,270,52.045,[35]
87108,Chernobyl,Chernobyl,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,2019-05-06,['US'],en,8.7,801,36.178,[18]
62560,Mr. Robot,Mr. Robot,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.",2015-05-27,['US'],en,8.0,1697,40.239,"[80, 18]"
76479,The Boys,The Boys,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,2019-07-25,['US'],en,8.1,362,49.73,"[10759, 10765]"
4313,Full House,Full House,"After the death of his wife, Danny enlists his best friend and his brother-in-law to help raise his three daughters, D.J., Stephanie, and Michelle.",1987-09-22,['US'],en,6.5,236,44.789,"[35, 10751]"
61374,Tokyo Ghoul,東京喰種トーキョーグール,"Ken Kaneki is a bookworm college student who meets a girl names Rize at a cafe he frequents. They're the same age and have the same interests, so they quickly become close. Little does Kaneki know that Rize is a ghoul - a kind of monster that lives by hunting and devouring human flesh. When part of her special organ - ""the red child"" - is transplanted into Kaneki, he becomes a ghoul himself, trapped in a warped world where humans are not the top of the food chain.",2014-07-04,['JP'],ja,7.3,197,44.301,"[16, 18, 9648, 10759]"
2316,The Office,The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",2005-03-24,['US'],en,8.2,744,48.132,[35]
34524,Teen Wolf,Teen Wolf,"Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.",2011-06-05,['US'],en,7.5,540,41.904,"[18, 10765]"
46648,True Detective,True Detective,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",2014-01-12,['US'],en,8.3,1312,25.248,[18]
76773,Station 19,Station 19,"A group of heroic firefighters at Seattle Fire Station 19—from captain to newest recruit—risk their lives and hearts both in the line of duty and off the clock. These brave men and women are like family, literally and figuratively, and together they put their own lives in jeopardy as first responders to save the lives of others.",2018-03-22,['US'],en,8.4,94,30.458,[18]
1411,Person of Interest,Person of Interest,"Person of Interest follows former CIA paramilitary operative, John Reese, who is presumed dead and teams up with reclusive billionaire Finch to prevent violent crimes in New York City by initiating their own type of justice. With the special training that Reese has had in Covert Operations and Finch's genius software inventing mind, the two are a perfect match for the job that they have to complete. With the help of surveillance equipment, they work ""outside the law"" and get the right criminal behind bars. ",2011-09-22,['US'],en,7.9,679,29.471,"[18, 10759, 80, 10765]"
81292,Messiah,Messiah,A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. Who exactly is he? And what does he want?,2020-01-01,['US'],en,7.7,45,25.377,[18]
4386,Baywatch,Baywatch,The thrilling adventures of the iconic Los Angeles County Lifeguards as they patrol the beautiful beaches of Southern California.,1989-04-23,['US'],en,5.4,176,38.323,"[18, 10759]"
8592,Parks and Recreation,Parks and Recreation,"Hilarious ensemble comedy that follows Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, and her tireless efforts to make her quintessentially American town just a little bit more fun.",2009-04-09,['US'],en,8.0,509,31.452,[35]
1424,Orange Is the New Black,Orange Is the New Black,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",2013-07-11,['US'],en,7.5,895,30.084,"[35, 18]"
1423,Ray Donovan,Ray Donovan,"Set in the sprawling mecca of the rich and famous, Ray Donovan does the dirty work for LA's top power players, and makes their problems disappear. His father's unexpected release from prison sets off a chain of events that shakes the Donovan family to its core.",2013-06-30,['US'],en,7.5,422,42.742,[18]
30983,Case Closed,名探偵コナン,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason.",1996-01-08,['JP'],ja,6.4,158,28.128,"[16, 35, 9648]"
14424,Young Hearts,Malhação,"Malhação is a Brazilian television series for the teenage audience. The soap started in 1995, and was set in a fictional Gym Club called Malhação on Barra da Tijuca, Rio de Janeiro. Through the years the location varied slightly. Although the name of the soap remains the same, it is now set in the Múltipla Escolha High School.",1995-04-24,['BR'],pt,2.2,3,7.442,[10766]
75450,Titans,Titans,A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.,2018-10-12,['US'],en,7.7,431,49.613,"[18, 10759, 10765]"
12225,Peppa Pig,Peppa Pig,"Peppa Pig is an energetic piggy who lives with Mummy, Daddy, and little brother George. She loves to jump in mud puddles and make loud snorting noises.",2004-05-31,['GB'],en,6.5,28,25.476,"[16, 10762]"
95,Buffy the Vampire Slayer,Buffy the Vampire Slayer,"Into every generation a slayer is born: one girl in all the world, a chosen one. She alone will wield the strength and skill to fight the vampires, demons, and the forces of darkness; to stop the spread of their evil and the swell of their number. She is the Slayer.",1997-03-10,['US'],en,8.2,615,28.904,"[35, 18, 10765]"
